element1, element2, datasource
Ni,Cu,Experiment
Ni,Rh,Theory
Ni,Pd,Theory
Ni,Ag,Theory
Ni,Ir,Theory
Ni,Pt,Theory
Ni,Au,Experiment
Cu,Ni,Experiment
Cu,Rh,Theory
Cu,Pd,Theory
Cu,Ag,Experiment
Cu,Ir,Theory
Cu,Pt,Theory
Cu,Au,Experiment
Rh,Ni,Theory
Rh,Cu,Theory
Rh,Pd,Theory
Rh,Ag,Theory
Rh,Ir,Theory
Rh,Pt,Theory
Rh,Au,Experiment
Pd,Ni,Theory
Pd,Cu,Theory
Pd,Rh,Theory
Pd,Ag,Theory
Pd,Ir,Theory
Pd,Pt,Theory
Pd,Au,Experiment
Ag,Ni,Theory
Ag,Cu,Experiment
Ag,Rh,Theory
Ag,Pd,Theory
Ag,Ir,Theory
Ag,Pt,Theory
Ag,Au,Experiment
Ir,Ni,Theory
Ir,Cu,Theory
Ir,Rh,Theory
Ir,Pd,Theory
Ir,Ag,Theory
Ir,Pt,Theory
Ir,Au,Theory
Pt,Ni,Theory
Pt,Cu,Theory
Pt,Rh,Theory
Pt,Pd,Theory
Pt,Ag,Theory
Pt,Ir,Theory
Pt,Au,Theory
Au,Ni,Experiment
Au,Cu,Experiment
Au,Rh,Experiment
Au,Pd,Experiment
Au,Ag,Experiment
Au,Ir,Theory
Au,Pt,Theory
