atom1,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,La,Hf,Ta,W,Re,Os,Ir,Pt,Au,Th
Sc,1.638,1.327,2.208,2.145,1.441,2.384,3.026,3.275,2.301,1.482,2.363,2.757,3.234,4.778,4.964,4.840,3.659,2.394,1.720,2.342,2.923,4.197,5.317,5.410,5.576,5.058,3.824,2.083
Ti,1.327,1.296,1.897,1.689,0.995,1.834,2.404,2.715,1.720,1.182,2.011,2.581,2.840,4.135,4.291,4.115,3.213,1.845,1.358,2.000,2.726,3.762,4.664,4.747,4.850,4.571,3.254,1.658
V,2.208,1.897,2.467,1.980,1.378,1.917,2.373,2.819,1.948,2.073,2.767,2.892,2.892,3.762,3.959,3.752,2.798,1.762,2.239,2.653,2.974,3.555,4.094,4.301,4.260,4.052,2.674,2.446
Cr,2.145,1.689,1.980,1.565,0.974,1.358,1.731,2.125,1.503,2.021,2.643,2.518,2.197,2.601,2.726,2.529,1.627,1.150,2.166,2.477,2.570,2.715,2.860,3.047,2.912,2.705,1.648,2.353
Mn,1.441,0.995,1.378,0.974,0.435,0.829,1.275,1.689,1.016,1.327,1.917,1.855,1.648,2.228,2.384,2.208,1.327,0.705,1.503,1.783,1.917,2.197,2.508,2.695,2.612,2.425,1.316,1.648
Fe,2.384,1.834,1.917,1.358,0.829,1.036,1.337,1.689,1.296,2.249,2.860,2.570,2.000,2.125,2.218,2.000,1.068,0.964,2.404,2.653,2.601,2.456,2.353,2.529,2.332,2.135,1.202,2.570
Co,3.026,2.404,2.373,1.731,1.275,1.337,1.731,2.062,1.720,2.902,3.462,3.057,2.353,2.311,2.363,2.176,1.254,1.441,3.057,3.234,3.078,2.746,2.498,2.664,2.446,2.228,1.492,3.192
Ni,3.275,2.715,2.819,2.125,1.689,1.689,2.062,2.373,2.125,3.057,3.731,3.534,2.746,2.612,2.653,2.456,1.534,1.845,3.109,3.534,3.555,3.120,2.778,2.943,2.705,2.477,1.814,3.451
Cu,2.301,1.720,1.948,1.503,1.016,1.296,1.720,2.125,2.031,2.218,2.695,2.467,2.094,2.529,2.632,2.508,1.700,,2.446,2.529,2.518,2.581,2.736,2.923,2.819,2.664,,2.498
Y,1.482,1.182,2.073,2.021,1.327,2.249,2.902,3.057,2.218,1.617,2.197,2.591,3.068,4.622,4.799,4.685,3.513,2.311,1.928,2.176,2.757,4.021,5.141,5.234,5.410,4.871,3.700,2.311
Zr,2.363,2.011,2.767,2.643,1.917,2.860,3.462,3.731,2.695,2.197,3.203,3.451,3.835,5.306,5.483,5.327,4.187,2.881,2.394,3.140,3.627,4.809,5.876,5.949,6.094,5.638,4.353,2.778
Nb,2.757,2.581,2.892,2.518,1.855,2.570,3.057,3.534,2.467,2.591,3.451,3.845,3.731,4.716,4.840,4.633,3.866,2.612,2.757,3.389,3.969,4.602,5.224,5.306,5.327,5.203,3.866,3.068
Mo,3.234,2.840,2.892,2.197,1.648,2.000,2.353,2.746,2.094,3.068,3.835,3.731,3.368,3.690,3.752,3.513,2.726,2.052,3.234,3.648,3.793,3.990,4.094,4.197,4.052,4.052,2.674,3.472
