,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,La,Hf,Ta,W,Re,Os,Ir,Pt,Au,Th
Sc,158,128,213,207,139,230,292,316,222,143,228,266,312,461,479,467,353,231,166,226,282,405,513,522,538,488,369,201
Ti,128,125,183,163,96,177,232,262,166,114,194,249,274,399,414,397,310,178,131,193,263,363,450,458,468,441,314,160
V,213,183,238,191,133,185,229,272,188,200,267,279,279,363,382,362,270,170,216,256,287,343,395,415,411,391,258,236
Cr,207,163,191,151,94,131,167,205,145,195,255,243,212,251,263,244,157,111,209,239,248,262,276,294,281,261,159,227
Mn,139,96,133,94,42,80,123,163,98,128,185,179,159,215,230,213,128,68,145,172,185,212,242,260,252,234,127,159
Fe,230,177,185,131,80,100,129,163,125,217,276,248,193,205,214,193,103,93,232,256,251,237,227,244,225,206,116,248
Co,292,232,229,167,123,129,167,199,166,280,334,295,227,223,228,210,121,139,295,312,297,265,241,257,236,215,144,308
Ni,316,262,272,205,163,163,199,229,205,295,360,341,265,252,256,237,148,178,300,341,343,301,268,284,261,239,175,333
Cu,222,166,188,145,98,125,166,205,196,214,260,238,202,244,254,242,164,0,236,244,243,249,264,282,272,257,0,241
Y,143,114,200,195,128,217,280,295,214,156,212,250,296,446,463,452,339,223,186,210,266,388,496,505,522,470,357,223
Zr,228,194,267,255,185,276,334,360,260,212,309,333,370,512,529,514,404,278,231,303,350,464,567,574,588,544,420,268
Nb,266,249,279,243,179,248,295,341,238,250,333,371,360,455,467,447,373,252,266,327,383,444,504,512,514,502,373,296
Mo,312,274,279,212,159,193,227,265,202,296,370,360,325,356,362,339,263,198,312,352,366,385,395,405,391,391,258,335
Tc,461,399,363,251,215,205,223,252,244,446,512,455,356,330,325,302,211,244,462,483,456,398,349,368,337,308,234,479
Ru,479,414,382,263,230,214,228,256,254,463,529,467,362,325,327,303,204,250,479,499,467,400,343,361,328,298,231,496
Rh,467,397,362,244,213,193,210,237,242,452,514,447,339,302,303,281,185,239,470,483,447,376,317,336,304,275,216,484
Pd,353,310,270,157,128,103,121,148,164,339,404,373,263,211,204,185,104,172,356,395,373,299,231,244,210,188,139,374
Ag,231,178,170,111,68,93,139,178,0,223,278,252,198,244,250,239,172,158,253,259,259,261,273,287,279,275,0,256
La,166,131,216,209,145,232,295,300,236,186,231,266,312,462,479,470,356,253,241,230,283,404,511,521,537,484,362,251
Hf,226,193,256,239,172,256,312,341,244,210,303,327,352,483,499,483,395,259,230,304,342,443,535,543,555,516,393,263
Ta,282,263,287,248,185,251,297,343,243,266,350,383,366,456,467,447,373,259,283,342,395,449,505,513,513,502,376,312
W,405,363,343,262,212,237,265,301,249,388,464,444,385,398,400,376,299,261,404,443,449,452,436,445,427,425,308,427
Re,513,450,395,276,242,227,241,268,264,496,567,504,395,349,343,317,231,273,511,535,505,436,376,386,352,328,255,531
Os,522,458,415,294,260,244,257,284,282,505,574,512,405,368,361,336,244,287,521,543,513,445,386,405,371,339,269,540
Ir,538,468,411,281,252,225,236,261,272,522,588,514,391,337,328,304,210,279,537,555,513,427,352,371,333,299,244,555
Pt,488,441,391,261,234,206,215,239,257,470,544,502,391,308,298,275,188,275,484,516,502,425,328,339,299,278,234,508
Au,369,314,258,159,127,116,144,175,0,357,420,373,258,234,231,216,139,0,362,393,376,308,255,269,244,234,220,392
Th,201,160,236,227,159,248,308,333,241,223,268,296,335,479,496,484,374,256,251,263,312,427,531,540,555,508,392,0
