Chemical_Formula,Ag,Au,Mixing_Parameter,BCM_CE_eV,SE_Energy_eV,BCM_EE_eV,
Au309,0,309,1,-3.463912644,-55.61866,0,55.61866
AgAu308,1,308,0.984496124,-3.461912239,-55.324061,-0.000529953,55.324061
Ag2Au307,2,307,0.971576227,-3.459781374,-55.222778,-0.000929445,55.222778
Ag3Au306,3,306,0.958656331,-3.457650508,-55.121473,-0.001328937,55.121473
Ag4Au305,4,305,0.945736434,-3.455519642,-55.020794,-0.001728429,55.020794
Ag5Au304,5,304,0.930232558,-3.453519238,-54.921755,-0.002258383,54.921755
Ag6Au303,6,303,0.914728682,-3.451518833,-54.822719,-0.002788336,54.822719
Ag7Au302,7,302,0.896640827,-3.44964889,-54.725725,-0.00344875,54.725725
Ag8Au301,8,301,0.881136951,-3.447648485,-54.62673,-0.003978703,54.62673
Ag9Au300,9,300,0.863049096,-3.445778542,-54.530186,-0.004639118,54.530186
Ag10Au299,10,299,0.850129199,-3.443647676,-54.428774,-0.00503861,54.428774
Ag11Au298,11,298,0.834625323,-3.441647272,-54.329783,-0.005568563,54.329783
Ag12Au297,12,297,0.821705426,-3.439516406,-54.228495,-0.005968055,54.228495
Ag13Au296,13,296,0.80620155,-3.437516001,-54.129458,-0.006498008,54.129458
Ag14Au295,14,295,0.793281654,-3.435385136,-54.054522,-0.0068975,54.054522
Ag15Au294,15,294,0.780361757,-3.43325427,-53.979597,-0.007296992,53.979597
Ag16Au293,16,293,0.76744186,-3.431123404,-53.904684,-0.007696484,53.904684
Ag17Au292,17,292,0.757105943,-3.428862077,-53.839107,-0.007965515,53.839107
Ag18Au291,18,291,0.746770026,-3.426600751,-53.774144,-0.008234546,53.774144
Ag19Au290,19,290,0.736434109,-3.424339424,-53.709254,-0.008503577,53.709254
Ag20Au289,20,289,0.726098191,-3.422078097,-53.644642,-0.008772608,53.644642
Ag21Au288,21,288,0.715762274,-3.41981677,-53.580099,-0.009041639,53.580099
Ag22Au287,22,287,0.705426357,-3.417555443,-53.516652,-0.00931067,53.516652
Ag23Au286,23,286,0.695090439,-3.415294116,-53.45321,-0.009579701,53.45321
Ag24Au285,24,285,0.687338501,-3.412902328,-53.399585,-0.00971827,53.399585
Ag25Au284,25,284,0.674418605,-3.410771463,-53.337227,-0.010117762,53.337227
Ag26Au283,26,283,0.664082687,-3.408927275,-53.290105,-0.010803933,53.290105
Ag27Au282,27,282,0.65374677,-3.407083088,-53.243004,-0.011490103,53.243004
Ag28Au281,28,281,0.643410853,-3.4052389,-53.195945,-0.012176273,53.195945
Ag29Au280,29,280,0.633074935,-3.401994393,-53.145451,-0.011462124,53.145451
Ag30Au279,30,279,0.622739018,-3.400150206,-53.098473,-0.012148295,53.098473
Ag31Au278,31,278,0.599483204,-3.398809423,-53.051537,-0.01333787,53.051537
Ag32Au277,32,277,0.589147287,-3.396965236,-53.00461,-0.01402404,53.00461
Ag33Au276,33,276,0.57881137,-3.395121048,-52.957807,-0.01471021,52.957807
Ag34Au275,34,275,0.568475452,-3.393276861,-52.91107,-0.01539638,52.91107
Ag35Au274,35,274,0.558139535,-3.391432673,-52.865091,-0.016082551,52.865091
Ag36Au273,36,273,0.547803618,-3.389588486,-52.819401,-0.016768721,52.819401
Ag37Au272,37,272,0.5374677,-3.387744298,-52.77520755,-0.017454891,52.77520755
Ag38Au271,38,271,0.531007752,-3.38564832,-52.728099,-0.017889271,52.728099
Ag39Au270,39,270,0.520671835,-3.383804133,-52.68412,-0.018575441,52.68412
Ag40Au269,40,269,0.514211886,-3.381708155,-52.637322,-0.019009821,52.637322
Ag41Au268,41,268,0.505167959,-3.379767389,-52.59400258,-0.019599413,52.59400258
Ag42Au267,42,267,0.49870801,-3.37767598,-52.551449,-0.020038362,52.551449
Ag43Au266,43,266,0.497416021,-3.375611238,-52.511582,-0.020503978,52.511582
Ag44Au265,44,265,0.492248062,-3.373456625,-52.464348,-0.020879723,52.464348
Ag45Au264,45,264,0.485788114,-3.371360647,-52.419232,-0.021314102,52.419232
