,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,La,Hf,Ta,W,Re,Os,Ir,Pt,Au,Th
Sc,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56,0,0,0,0,0,0,0,0,0,0,2.87,0
Ti,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0,0,0,0,0,0,0,4.08,0,0
V,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,4.25,3.73,0,0,0,0,0,0,0,0,0,0,2.51,0
Cr,0,0,0,1.78,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0
Mn,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,2.01,0
Fe,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0
Co,0,0,0,0,0,0,0.95,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0
Ni,0,0,0,0,0,0,0,2.068,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0
Cu,0,0,0,1.6,0,0,1.63,2.08,2.01,0,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0,0,0,2.34,0
Y,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,4.58,2.46,0,2.05,0,0,0,0,0,4.75,4.87,3.19,0
Zr,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nb,0,0,0,0,0,0,0,0,0,0,0,5,4.64,0,0,0,0,0,0,0,0,0,0,0,4.78,0,0,0
Mo,0,0,0,0,0,0,0,0,0,0,0,4.64,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tc,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ru,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0
Rh,4.56,4.01,3.73,0,0,0,0,0,0,4.58,0,0,0,0,0,2.92,0,0,5.44,0,0,0,0,0,0,0,2.37,0
Pd,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,1.44,0
Ag,0,0,0,0,0.99,0,0,0,1.76,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,2.06,0
La,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0,0,5.44,0,0,2.5,0,0,0,0,0,5.94,5.14,3.44,0
Hf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0
Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Re,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Os,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0
Ir,0,0,0,0,0,0,0,0,0,4.75,0,4.78,0,0,0,0,0,0,5.94,0,0,0,0,0,3.7,0,0,0
Pt,0,4.08,0,0,0,0,0,0,0,4.87,0,0,0,0,0,0,0,0,5.14,0,0,0,0,0,0,3.71,0,0
Au,2.87,0,2.51,2.28,2.01,1.9,2.22,2.55,2.34,3.19,0,0,0,0,0,2.37,1.44,2.06,3.44,0,0,0,0,0,0,0,2.29,0
Th,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074
